0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:24:57 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:25:14 +0200] "GET /Noutaja/muutaasiakas.jsp?asiakas_id=12 HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:25:14 +0200] "GET /Noutaja/asiakkaat/getone/12 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:25:28 +0200] "PUT /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:25:32 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:25:32 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:26:32 +0200] "DELETE /Noutaja/asiakkaat/12 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:26:34 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:31:23 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:31:24 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:31:24 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:31:31 +0200] "GET /Noutaja/muutaasiakas.jsp?asiakas_id=11 HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:31:31 +0200] "GET /Noutaja/scripts/main.js HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:31:31 +0200] "GET /Noutaja/asiakkaat/getone/11 HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:31:32 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:31:33 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:39:52 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:39:52 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:39:55 +0200] "GET /Noutaja/lisaaAsiakas.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:40:17 +0200] "POST /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:40:22 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:40:23 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:40:28 +0200] "GET /Noutaja/muutaasiakas.jsp?asiakas_id=13 HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:40:28 +0200] "GET /Noutaja/asiakkaat/getone/13 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:40:47 +0200] "PUT /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:41:03 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:41:03 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:48:55 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:48:56 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:48:59 +0200] "GET /Noutaja/muutaasiakas.jsp?asiakas_id=13 HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:48:59 +0200] "GET /Noutaja/asiakkaat/getone/13 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:49:10 +0200] "PUT /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:49:21 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:49:21 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:59:11 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:59:12 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:59:14 +0200] "GET /Noutaja/muutaasiakas.jsp?asiakas_id=13 HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:59:15 +0200] "GET /Noutaja/asiakkaat/getone/13 HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [04/Dec/2020:15:59:21 +0200] "PUT /Noutaja/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:00:55 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:00:56 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [04/Dec/2020:16:01:30 +0200] "GET /Noutaja/muutaasiakas.jsp?asiakas_id=13 HTTP/1.1" 200 2896
