0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:23:33 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:23:33 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:23:55 +0200] "GET /Noutaja/lisaaAsiakas.jsp HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:25:31 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:25:31 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:28:22 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:28:22 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:30:15 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:30:15 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:30:20 +0200] "GET /Noutaja/lisaaAsiakas.jsp HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:30:20 +0200] "GET /Noutaja/scripts/main.js HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:31:17 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:31:18 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:31:53 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:31:53 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:31:56 +0200] "GET /Noutaja/lisaaAsiakas.jsp HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:31:56 +0200] "GET /Noutaja/scripts/main.js HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:32:16 +0200] "GET /Noutaja/lisaaAsiakas.jsp HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:32:16 +0200] "GET /Noutaja/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:33:57 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:33:58 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:33:58 +0200] "GET /Noutaja/css/style.css HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:36:03 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:36:03 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:37:10 +0200] "GET /Noutaja/asiakkaat/laine HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:38:01 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:38:08 +0200] "GET /Noutaja/lisaaAsiakas.jsp HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:38:08 +0200] "GET /Noutaja/scripts/main.js HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:38:09 +0200] "GET /Noutaja/listaaasiakkaat.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [23/Nov/2020:16:38:09 +0200] "GET /Noutaja/asiakkaat/ HTTP/1.1" 200 437
